year,nc_senate,classification,totalpop_district_year,mean_age,median_age,totalpop_class,percent,identity
1990,1,white,141130.0,37.0,36.0,102233.0,72.0,dist_1_white
1990,1,black,141130.0,33.0,30.0,38001.0,27.0,dist_1_black
1990,1,other,141130.0,30.0,28.0,896.0,1.0,dist_1_other
1990,1,nonhisp,141130.0,36.0,34.0,140262.0,99.0,dist_1_nonhisp
1990,1,hispanic,141130.0,27.0,25.0,868.0,1.0,dist_1_hispanic
1990,2,white,145543.0,36.0,34.0,114467.0,79.0,dist_2_white
1990,2,black,145543.0,31.0,27.0,28453.0,20.0,dist_2_black
1990,2,other,145543.0,26.0,25.0,2622.0,2.0,dist_2_other
1990,2,nonhisp,145543.0,35.0,33.0,143210.0,98.0,dist_2_nonhisp
1990,2,hispanic,145543.0,22.0,22.0,2332.0,2.0,dist_2_hispanic
1990,3,white,176704.0,39.0,39.0,82056.0,46.0,dist_3_white
1990,3,black,176704.0,32.0,29.0,93672.0,53.0,dist_3_black
1990,3,other,176704.0,32.0,28.0,976.0,1.0,dist_3_other
1990,3,nonhisp,176704.0,36.0,34.0,175950.0,100.0,dist_3_nonhisp
1990,3,hispanic,176704.0,29.0,26.0,754.0,0.0,dist_3_hispanic
1990,4,white,180591.0,39.0,38.0,88913.0,49.0,dist_4_white
1990,4,black,180591.0,32.0,28.0,88123.0,49.0,dist_4_black
1990,4,other,180591.0,30.0,28.0,3554.0,2.0,dist_4_other
1990,4,nonhisp,180591.0,35.0,33.0,179577.0,99.0,dist_4_nonhisp
1990,4,hispanic,180591.0,27.0,25.0,1012.0,1.0,dist_4_hispanic
1990,5,white,151906.0,37.0,35.0,70560.0,46.0,dist_5_white
1990,5,black,151906.0,32.0,29.0,79839.0,53.0,dist_5_black
1990,5,other,151906.0,28.0,26.0,1508.0,1.0,dist_5_other
1990,5,nonhisp,151906.0,34.0,32.0,150613.0,99.0,dist_5_nonhisp
1990,5,hispanic,151906.0,26.0,24.0,1293.0,1.0,dist_5_hispanic
1990,6,white,159220.0,28.0,25.0,117602.0,74.0,dist_6_white
1990,6,black,159220.0,26.0,24.0,33476.0,21.0,dist_6_black
1990,6,other,159220.0,24.0,23.0,8141.0,5.0,dist_6_other
